Parameters,Base Value,Low Value,High Value,Low ICER,Base ICER,High ICER,Low QALYs,Base QALYs,High QALYs,Low Costs,Base Costs,High Costs,Low Life Years,Base Life Years,High Life Years
Chemotherapy cost per cycle,,,,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Toxicity cost per cycle,,,,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Second-line cost per month,,,,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Toxicity cost per month,,,,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Resection surgery cost,29580.0,15000.0,41000.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Palliative care cost,101388.0,92820.0,103020.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,102765.43306724257,112251.47300000001,114058.3377999066,1.1584580963906528,1.158458096,1.1584580963906528
Capecitabine/radiation per month,1377.0,840.0,1938.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Chemoradiation hospitalization costs,2856.0,1734.0,3774.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
Endoscopic ultrasound,1570.8,0.0,1570.8,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
