,Life_Years,Costs,Util
0,1.0,12123.487518998263,1.4502175674474065
1,1.9796817756306249,24251.32680663622,2.079393975589304
2,2.949932784391953,36482.78051152471,2.695656047492719
3,3.9086118684943054,48765.539407062715,3.298403875379634
4,4.853820898272688,61055.74676427581,3.8870511800212917
5,5.783825753991328,73322.31629109645,4.460731720678612
6,6.708408367430123,85660.78387291836,5.026474004474083
7,7.6155125318765755,109498.13064727925,5.633956513940747
8,8.495746804153775,112804.06666297161,6.269393071305121
9,9.362931940715741,117137.2868946518,6.884178012630729
10,10.212193827570568,121274.34171057935,7.488287427424588
11,11.04300001232106,125218.70330564512,8.081153634817701
12,11.855974080362355,128981.04527364178,8.663193085012898
13,12.651182203876308,132570.04522856986,9.234287800122901
14,13.4294908347932,136001.89870032007,9.794795707341017
15,14.191076628669393,139281.67372741285,10.344821534490771
16,14.936153039219525,142419.52118843363,10.884339633005245
17,15.664197891550936,145412.9462876213,11.412904939250119
18,16.37665066383772,148282.75307416538,11.931326496319373
19,17.07313491676449,151023.4547482541,12.43941162177291
20,17.754729290250857,153650.2400605528,12.937701720826357
21,18.42163892241317,156169.97427934437,13.426243207629007
22,19.0741268875254,158584.16425937746,13.905216306563064
23,19.712251140583113,160897.02860135297,14.374605964638599
24,20.336640299043072,163112.4486555127,14.83484057591078
25,20.947701833957073,165241.37464346815,15.286020374679193
26,21.545581873307338,167287.14656497637,15.728220919749306
27,22.130826486935153,169250.9428899839,16.16187523397918
28,22.703876573291648,171139.94290330657,16.587166995606612
29,23.264510357372433,172954.664859399,17.00391854412562
30,23.813721329857383,174703.2601455235,17.412775139558878
31,24.351680352681456,176389.01990516728,17.81380628653924
32,24.87856837363222,178013.06056476655,18.20713055063529
33,25.39471109869338,179580.41459729342,18.592943173539968
34,25.900000668252176,181090.20794772508,18.97112469351335
35,26.395043435849782,182547.23133322503,19.342091765947586
36,26.880323709624204,183955.4943589141,19.706160288219646
37,27.355922620271606,185316.51328854653,20.063361520633926
38,27.822013166897886,186632.38876116995,20.413784325421396
39,28.279129445308417,187907.67922151944,20.757791731872945
40,28.727009952616832,189141.58019068855,21.095172399977148
41,29.16584518152122,190334.409957782,21.426066095317932
42,29.595887480452024,191490.22845265552,21.750609958871657
43,30.01778425089369,192611.78451450993,22.069279152028713
44,30.431348557399108,193700.36107752714,22.381891589694792
45,30.837053274278816,194758.14387648017,22.68878799279535
46,31.234942495740512,195785.44960934177,22.98999090337437
47,31.625161283503427,196782.46593198134,23.285603709957044
48,32.00777563318294,197750.5930101207,23.575657872659136
49,32.38284276279106,198689.8018879204,23.86018970561854
50,32.75088450204596,199603.58329062548,24.139568607810478
51,33.111919450866154,200492.42092465347,24.413798958438992
52,33.46599693686853,201357.26680394838,24.682895527993935
53,33.813611175153476,202200.44701245558,24.947214200712313
54,34.15467532486163,203022.0905605275,25.206677499551912
55,34.489314504820214,203823.81368242574,25.461361161531865
56,34.81755966725951,204602.78978393393,25.711319021809782
57,35.139820876444006,205363.85101795004,25.9568162090353
58,35.4560736742663,206105.41480707328,26.197846646142935
59,35.76619028395479,206827.52674903258,26.43429970060305
60,36.07053903385183,207532.29804216448,26.666443600883248
61,36.36915928479807,208219.65486043654,26.8943057776121
62,36.66215115832027,208891.09489662384,27.11794394965142
63,36.94965928302056,209546.06477064846,27.33747653818598
64,37.23201633378193,210186.68896492824,27.553141742187435
65,37.508891821486095,210810.33317498042,27.764705172878006
66,37.780663292976115,211420.06524847395,27.97242528840155
67,38.04756783560413,212017.41001071833,28.176469169405394
68,38.30961590815741,212601.07018314308,28.376860624711576
69,38.56704319309976,213172.56103099906,28.573765251639642
70,38.81942422687034,213730.03327515896,28.766863102990104
71,39.06732907150466,214276.35918024988,28.9565730765234
72,39.310504721007014,214809.42950843673,29.142716582257876
73,39.54934720071086,215331.64556868165,29.32557756181383
74,39.78384958686676,215842.56114049148,29.505154569147614
75,40.013938049988425,216342.6918641114,29.681380255802335
76,40.2398314766491,216832.74614360306,29.854419601285635
77,40.46164100888702,217312.77117031155,30.024358790865453
78,40.67942158840322,217782.90429966495,30.191238832757172
79,40.89324880170443,218243.78450391444,30.35511124512734
80,41.103205012271786,218695.25208253108,30.5160412402351
81,41.309243967449405,219136.91346165992,30.67399652813764
82,41.51149783574531,219569.50742934583,30.82907221697592
83,41.710012238663765,219992.88355342625,30.98130552724448
84,41.90509275102943,220408.42709409937,31.13092138605161
85,42.096737773653125,220817.27592598525,31.277904656590398
86,42.28470315799629,221216.84978200466,31.422091273461763
87,42.469152378426614,221608.0296391656,31.563599717955906
88,42.65026535905418,221991.56839877123,31.702562644070362
89,42.82808660383042,222367.48319252284,31.839014438040373
90,43.00270360402582,222736.10745210055,31.97302005984264
91,43.17406046469087,223097.65743346603,32.10453206621144
92,43.34227997772949,223452.6128280321,32.23364185353192
93,43.507530965565095,223801.506637191,32.36047644088896
94,43.66972572296252,224143.1172088726,32.4849802428618
95,43.82893451836491,224478.41825759385,32.60719676867065
96,43.98527115159543,224807.41229157135,32.72721607159113
97,44.13871038390591,225130.07938127793,32.84501796199048
98,44.28938835096483,225446.50421210137,32.96070884004167
99,44.43740009559681,225757.30458986104,33.07435659823626
100,44.58265278057627,226061.77397970008,33.18589559411723
101,44.72519882245664,226360.68517793465,33.29535799921667
102,44.86505109827057,226653.2970774914,33.40276274694335
103,45.00234823268433,226940.39881167133,33.50821003143461
104,45.137091187007286,227222.07021511276,33.611699235562426
105,45.269334436484904,227498.095716757,33.71327613900593
106,45.39913613568746,227768.80182739958,33.81298275919256
107,45.526587821082586,228034.7663334715,33.91088451281694
108,45.65169298395356,228295.34470685493,34.006991699766644
109,45.77435937951231,228550.71690661143,34.10122878713516
110,45.89486445325538,228801.48466182116,34.19380855287507
111,46.013134814403614,229047.45312654637,34.28467507289219
112,46.129243583645696,229288.567612436,34.37388674575729
113,46.243202537466146,229525.1539609219,34.46144899909842
114,46.35507693596836,229757.2691597832,34.54741259075078
115,46.464874434062956,229984.60771181222,34.63178725197713
116,46.572588335842475,230207.46057407907,34.714564038149845
117,46.67839576236602,230426.45562375287,34.79587583142368
118,46.78229232464182,230641.62298446798,34.87571865365121
119,46.884288705486284,230852.75753666126,34.954103431921006
120,46.98437421794373,231059.6348524932,35.031024262151476
121,47.08258594280523,231262.57032648093,35.106506785277
122,47.1788821764326,231461.01665466913,35.18052432531832
123,47.27342223858633,231655.84829059563,35.25319274047499
124,47.36619582642078,231847.24147390376,35.32450164834827
125,47.45727627218176,232035.24784621643,35.39450855749931
126,47.54665726819445,232219.66092769604,35.46321090241291
127,47.634334657427694,232400.41086140464,35.530606153361575
128,47.72036291507335,232577.6062144838,35.59673621535147
129,47.80476198792864,232751.36061271545,35.6616154972997
130,47.88765774133061,232922.08778186262,35.725338845082284
131,47.96907228361319,233089.7603118605,35.78792407992365
132,48.048963363080006,233254.30737020937,35.84933850504217
133,48.12731851481032,233415.4522252281,35.90957550320329
134,48.20416752489996,233573.2663736641,35.968657822193634
135,48.2796352545139,233728.4316741391,36.02667629771195
136,48.35368790102807,233880.54311054593,36.08360894411973
137,48.42638534483582,234029.8254045162,36.139500568073984
138,48.49767067562385,234175.85378927022,36.19431108534257
139,48.56765666793859,234319.43399233534,36.248120278924624
140,48.63631485668222,234460.39059806097,36.30090763407159
141,48.703699368906506,234598.78453918648,36.35271535128372
142,48.76979584510266,234734.41946842964,36.40353437910671
143,48.83467530521039,234867.35154833188,36.453420377518285
144,48.898329234355195,234997.52606504146,36.50236722432949
