,Life_Years,Costs,Util
0,1.0,0.0,0.782929503772033
1,1.9782096648085417,2709.3409383203725,1.4883341684665512
2,2.9162725419592634,7263.498455480802,2.1211358337612136
3,3.806703970160404,13336.184250980874,2.6827563353098576
4,4.640362923007435,20107.405712503096,3.1843387237667296
5,5.412293933228446,27146.94181425705,3.631604488979671
6,6.118862613396092,34142.35129876483,4.028680934224177
7,6.7685406357241,40568.8139263669,4.393913229979703
8,7.3584601888339485,46709.93775156922,4.718726782203615
9,7.890536221062735,52431.40876422996,5.007618355186441
10,8.369811144897467,57775.519658336685,5.263591953556722
11,8.799076821752989,62693.93616628745,5.48991208706636
12,9.18297024821928,67207.6542150799,5.689740629648781
13,9.524749598076045,71330.7800101258,5.865313692555778
14,9.824752460829668,74950.48775058334,6.019413525508487
15,10.091309222690674,78227.06300629134,6.154985129876548
16,10.32845570998475,81162.32990652494,6.275147563947518
17,10.539321763954979,83806.42515494127,6.38123236860707
18,10.726029888956242,86162.74188426041,6.474825590366884
19,10.891507294673268,88246.17044584063,6.557886719086622
20,11.037655342362452,90098.99887270319,6.630960641732618
21,11.166653508679598,91738.50273582521,6.69536819480963
22,11.282122866272365,93170.52490227533,6.75381402727402
23,11.384415823855438,94442.30233166883,6.805519859921786
24,11.475517259174337,95602.11737600208,6.850962191625541
25,11.555600577981648,96616.73891642995,6.891018407964883
26,11.62757453998609,97505.05067784233,6.92754443338497
27,11.691450794228045,98299.80869537882,6.959818369638235
28,11.749084055154846,98999.33636094646,6.989329744361409
29,11.80014304109645,99625.5695022279,7.015329644028807
30,11.845527365369117,100188.66524317049,7.0382957252338825
31,11.886685573588828,100687.09780910784,7.059396147892128
32,11.92326561264257,101129.95246043791,7.078152522871093
33,11.955774953608039,101528.40858965495,7.094712673000512
34,11.984720230036466,101877.73487218366,7.10957884592194
35,12.010464898224885,102192.20378111905,7.122717082557907
36,12.033160825103336,102468.80326292086,7.134313504208711
37,12.053184009710812,102713.56456587969,7.144527891844262
38,12.07100556416174,102935.20435055732,7.153534562742321
39,12.08682348438676,103135.34982923724,7.161452219153352
40,12.100832968408293,103313.77823315379,7.168438658913615
41,12.112907070679713,103470.46431115847,7.174395056140854
42,12.123565480213646,103609.62393933111,7.179634204707662
43,12.1328822144405,103731.71495123899,7.184203837541781
44,12.14112843996994,103838.8753103882,7.188268545907935
45,12.148364517146726,103932.3549615597,7.191847692599695
46,12.154742865997271,104014.92578241976,7.194998751573609
47,12.160382705784826,104088.01906293853,7.197783120914392
48,12.165406960105171,104152.1501638513,7.200285539791925
49,12.169859453787678,104208.2379926046,7.202519812639235
50,12.17380324124174,104258.23048170617,7.204491834473841
51,12.17727098084719,104302.03253607811,7.206229296748068
52,12.180330580155642,104340.8170404634,7.207759190940424
53,12.183048830185655,104375.70881519237,7.209108707019451
54,12.185454017291475,104406.7240090081,7.210299630813863
55,12.187572244605088,104434.13785041314,7.211346256942954
56,12.189434664176618,104458.12905989867,7.2122689867487235
57,12.191077407858828,104479.34391807271,7.213081685837211
58,12.192524941436268,104498.07135382427,7.213797061147653
59,12.193797009408264,104514.51068850812,7.214426122963114
60,12.194937401650504,104529.11586347167,7.214993025029855
61,12.19595674072234,104541.79284285076,7.215508182667662
62,12.196864452405617,104552.78799955476,7.215973477278558
63,12.197675636020797,104562.75644272483,7.21638611045154
64,12.198402665372788,104571.56329817823,7.216758779999693
65,12.199043532154139,104579.41718848923,7.217085257715931
66,12.199615547236771,104586.36050706662,7.217378150696081
67,12.200130614703014,104592.54963574132,7.217643289013643
68,12.200587197400987,104598.1322172979,7.217876174233171
69,12.20099248359032,104603.13903028064,7.218081747368379
70,12.201344009745174,104607.52367432916,7.21825911517215
71,12.201653203951322,104611.40299943136,7.218414617281015
72,12.201928717539928,104614.94995788077,7.218551167289501
73,12.20217289514009,104618.11361023843,7.218671737695766
74,12.202389033875036,104620.92079878913,7.218778310873802
75,12.202579079118763,104623.33225638197,7.218873286241934
76,12.202747467576499,104625.48959495018,7.218956977064609
77,12.202895063104634,104627.35552139826,7.219030891952988
78,12.203025696710746,104629.02017826994,7.2190960185987585
79,12.203141390621019,104630.506555855,7.219153427186631
80,12.203243582947328,104631.82932217907,7.2192039163095165
81,12.203333676425332,104632.99539253538,7.2192484298814845
82,12.203413321093187,104634.0363522468,7.219287554874329
83,12.2034834433614,104634.94775929122,7.219322115735074
84,12.203543818451507,104635.73953597285,7.219351715041302
85,12.203597031112995,104636.42818917589,7.219378008084408
86,12.20364366075862,104637.02841590017,7.219401120509806
87,12.203684272902212,104637.5491518131,7.21942129565707
88,12.203720141416154,104638.01529499164,7.219438975226429
89,12.203751718559419,104638.42400267429,7.219454576746872
90,12.203779693696896,104638.79175611587,7.219468272129247
91,12.203804312123312,104639.11494274915,7.219480334043935
92,12.203825369690461,104639.39370846555,7.219490599401413
93,12.203843960668587,104639.64121943699,7.219499631107804
94,12.203860247493049,104639.85400811194,7.21950763372412
95,12.203874632061966,104640.04315971669,7.219514674518522
96,12.203887316568578,104640.21014045704,7.219520879072649
97,12.203898492397874,104640.35837711536,7.219526320751725
98,12.203908163180964,104640.48413623778,7.219531085718392
99,12.20391669167069,104640.59538641096,7.219535280147072
100,12.203924303298052,104640.69248375123,7.219539072586875
101,12.203931035487908,104640.779063533,7.219542411210164
102,12.203936973682675,104640.85589586444,7.219545345725771
103,12.20394222391333,104640.92305827455,7.219547957418259
104,12.20394688533464,104640.98381296477,7.21955025111605
105,12.203950980467114,104641.03690789186,7.2195522723930505
106,12.203954555721701,104641.0834736097,7.219554032355114
