,Life_Years,Costs,Util
0,1.0,12223.2365188893,1.507652575921027
1,1.9915463501716761,24352.470899766544,2.2004269320792025
2,2.9615687800915724,36229.791956621295,2.8700760793485993
3,3.921795782909977,47997.355001637006,3.525651054820611
4,4.869949930472605,59626.95767491736,4.166409319082929
5,5.804646132395823,71103.02859288859,4.792374806558422
6,6.737849558202222,82573.83998351744,5.4126598564667265
7,7.655438132419904,111478.60016758002,6.05065128990047
8,8.545777576966582,113680.46405359214,6.690145666812925
9,9.42293580467606,116993.61320770535,7.340174717715699
10,10.283378648050062,120203.07566121401,7.979532745857653
11,11.126528215394602,123306.49034735926,8.607702719587353
12,11.951772654735157,126305.97282409525,9.224058597858503
13,12.758563207601128,129201.42734437723,9.828075641465718
14,13.546337026937277,131993.29070243335,10.419187206086212
15,14.315880734639029,134683.58565514823,10.997956345010753
16,15.067394496456108,137274.3788179102,11.564453627434226
17,15.800244517374642,139765.29688957494,12.118118281622817
18,16.51535276566849,142169.98140037197,12.65935351293552
19,17.213078163433742,144488.59940844224,13.188416597577481
20,17.893706356102218,146724.4152946894,13.705419785002501
21,18.557624249930498,148878.8383655608,14.210619184251625
22,19.204595210274498,150951.26115643844,14.703814653188784
23,19.83462070197269,152942.19879169363,15.184957745948
24,20.449086597394878,154863.56874006192,15.654922617298958
25,21.04827192114266,156715.29493730087,16.11393100955116
26,21.63212002038376,158498.82685245996,16.56185595876995
27,22.20112475912197,160215.86331268796,16.999063933848845
28,22.756370584099106,161874.13794715816,17.426275131573412
29,23.298069614828712,163476.01326978792,17.843592535542207
30,23.826204055019875,165023.34083280363,18.250953400355964
31,24.340860571069587,166513.09262023546,18.648467576626274
32,24.84278152942719,167952.35337401737,19.03657892373511
33,25.33245501600118,169343.71671781183,19.41563871248358
34,25.81004144728988,170688.14049886985,19.785739289387827
35,26.27627052148577,171990.97940402458,20.14737570155193
36,26.731229887277824,173251.57491471534,20.500616826015843
37,27.174323700345155,174468.18712639858,20.844982094963118
38,27.60644284264254,175642.23508447834,21.181185112190146
39,28.02723553398859,176772.94038027254,21.508935661102054
40,28.437980810536374,177868.6393651891,21.82912148689685
41,28.839118077379688,178933.0228312385,22.142025861737874
42,29.230082260022584,179960.26581144021,22.44728936253873
43,29.61133085519247,180952.683113303,22.7452351096588
44,29.98259864559995,181909.91155053355,23.035642688777187
45,30.345048275802633,182840.98224687602,23.31928987605705
46,30.69900890697542,183745.18002362683,23.596462737339703
47,31.044385669715233,184622.0642100978,23.86708544015978
48,31.381805257119275,185474.26156300138,24.131623972355012
49,31.71086198710516,186299.0944999929,24.389791265887613
50,32.03215382680283,187099.93706740715,24.642008624573684
51,32.34585517090239,187877.16010758714,24.888409940557544
52,32.65183715547789,188630.85952551087,25.12887722472898
53,32.95062613231088,189362.9519973213,25.36381194612618
54,33.24193356668929,190072.32450503827,25.592989143012474
55,33.526035368644685,190759.63276513442,25.816623240222217
