,Life_Years,Costs,Util
0,1.0,11910.1284615,0.7340940070814445
1,1.9901321575030906,23971.78340257637,1.4321539019888936
2,2.965679321130077,36092.54840019035,2.095167668283968
3,3.922754864938544,48193.58743366681,2.7242069861433076
4,4.858197451793112,60208.05487624576,3.3204062302214465
5,5.769477641551462,72079.67562443511,3.8849444291188115
6,6.654615086869065,83761.47795858466,4.419029833045549
7,7.512105188451445,103519.36803446664,4.93502372977302
8,8.33794004582985,108743.6674662223,5.444399069414695
9,9.141142217812952,114466.8824371777,5.942406891634111
10,9.92088005107992,119894.31768276717,6.429511527381607
11,10.678443578577276,125043.29855096003,6.906280269960206
12,11.415041058218971,129930.116387261,7.373242821971559
13,12.131763248477542,134569.81830301465,7.830867851408195
14,12.82967252312916,138976.83656471458,8.27961837034892
15,13.509764110743191,143164.74137972906,8.719926850921556
16,14.172970429265721,147146.2924566547,9.152197299945295
17,14.820165142936757,150933.4875013406,9.576807195096448
18,15.452166958899308,154537.60782776246,9.994109291491048
19,16.069743179826666,157969.26125280678,10.404433307045645
20,16.67361302791751,161238.4224344381,10.808087494473051
21,17.264450754684646,164354.47080364023,11.20536010729166
22,17.842888550090066,167326.22623192612,11.596520766774493
23,18.409519263754454,170161.9825680768,11.981821736336281
24,18.964898950190808,172869.5391700763,12.361499109452716
25,19.509516697007893,175456.07185389384,12.73575166293109
26,20.04386321535033,177928.4923368626,13.104787031080546
27,20.56839902366176,180293.30035134905,13.468799742116
28,21.08355640151679,182556.60837399558,13.827972116905592
29,21.589741216452644,184724.16487135945,14.18247510615488
30,22.087334631980507,186801.37615040646,14.532469070160529
31,22.576694704441774,188793.32689712427,14.878104504998813
32,23.058157875890522,190704.7994816231,15.219522718763043
33,23.53204036972889,192540.29210347307,15.55685646122808
34,23.998639495394954,194304.03584667225,15.890230510098778
35,24.458234868001735,196000.01070953635,16.219762216791533
36,24.911089548449606,197631.96067093243,16.545562014503393
37,25.35742372635881,199203.3091713069,16.86771419096241
38,25.797471268845555,200717.37710299419,17.186317168904875
39,26.23145243969325,202177.28871471965,17.501463757842743
40,26.659574773122934,203585.98341514685,17.813241536702964
41,27.082033890505702,204946.22686571634,18.12173320989507
42,27.49901426374455,206260.62140553663,18.42701693863635
43,27.910689928811713,207531.61584853104,18.72916664924057
44,28.3172251527016,208761.51469063575,19.02825231996072
45,28.718775056847626,209952.4867625805,19.324340247868435
46,29.11548619985318,211106.5733616514,19.617493297152055
47,29.507497122201322,212225.69589383152,19.90777113012106
48,29.89493885543421,213311.66305582825,20.195230422116797
49,30.27791101768841,214366.10924835873,20.479906972573414
50,30.656531580508506,215390.64155494422,20.761852417845475
51,31.030912321171236,216386.77310134206,21.041115956575233
52,31.401159213112596,217355.9286819036,21.317744511278924
53,31.76737279091877,218299.4500470179,21.59178287866167
54,32.12964849155067,219218.60087210283,21.863273869448157
55,32.4880769733623,220114.57142737077,22.132258438461896
56,32.84274441437074,220988.48296643485,22.39877580563512
57,33.19373279113975,221841.3918507316,22.662863568584026
58,33.54112013954939,222674.2934257099,22.924557807340157
59,33.88498079864059,223488.1256637733,23.183893181787468
60,34.2253856386452,224283.77258805637,23.440903022316554
61,34.56237959159685,225062.01447288058,23.69560228849797
62,34.896027669113515,225823.6392188733,23.948022205698443
63,35.2263920002949,226569.38970480743,24.198192899439704
64,35.55353200697559,227299.96647123698,24.44614346365085
65,35.877504567653546,228016.03024269678,24.69190202418438
66,36.19836417083663,228718.20429821682,24.935495797928994
67,36.51616305850067,229407.0766993115,25.176951147828905
68,36.83095136030704,230083.20238404933,25.416293634097762
69,37.14277721918494,230747.105135288,25.653548061894902
70,37.451686908843676,231399.27943066994,25.888738525712995
71,37.75772494374286,232040.19218151429,26.121888450708525
72,38.0609341820139,232670.2843673087,26.3530206311903
73,38.36140261714404,233290.06960863943,26.582192861681662
74,38.65916922607177,233899.9383487553,26.80942617071898
75,38.9542716185404,234500.25961837018,27.03474106619149
76,39.24674611529011,235091.38229859062,27.258157564002694
77,39.536627821281115,235673.63630832324,27.47969521478084
78,39.823950694271254,236247.33372070166,27.69937312877552
79,40.108747609049594,236812.7698127982,27.9172099990677
80,40.39105041760834,237370.22405262888,28.133224123211576
81,40.670890005516554,237919.9610272184,28.347433423418263
82,40.948296344741905,238462.23131526398,28.559855465383617
83,41.22329854315067,238997.27230772458,28.770507475855247
84,41.495924890900966,239525.30897946082,28.979406359027063
85,41.766166244552934,240046.4836111035,29.186540621737613
86,42.03405002307172,240561.00031484294,29.39192703876309
87,42.2996029392663,241069.05275452448,29.59558209859595
88,42.56285103601509,241570.82475474392,29.797522016067266
89,42.8238197202423,242066.49087360594,29.997762744144826
90,43.08253379479006,242556.2169413277,30.19631998496467
91,43.339017488322064,243040.16056673814,30.3932092001496
92,43.59329448338541,243518.4716135999,30.5884456204644
93,43.84538794274909,243991.29264856438,30.78204425485412
94,44.09532053412999,244458.75936246186,30.974019898908274
95,44.34311445340976,244921.00096652543,31.164387142791043
96,44.58879144643946,245378.14056505155,31.353160378674513
97,44.83233559021799,245830.22621346006,31.540325193780706
98,45.07376843168905,246277.371354514,31.72589608804579
99,45.31311111592947,246719.6842631041,31.90988737658161
100,45.55038440339306,247157.26834107112,32.092313195552855
101,45.78560868612629,247590.22239450316,32.27318750770267
102,46.01880400302154,248018.64089455947,32.45252410755106
103,46.24999005416908,248442.61422280845,32.630336626288525
104,46.479186214365114,248862.22890200833,32.80663853638589
105,46.70641154582956,249277.56781320315,32.98144315593991
106,46.93168481018366,249688.71039995362,33.15476365277253
107,47.155024479734294,250095.7328604738,33.32661304830085
108,47.37644874810883,250498.70832839745,33.49700422119322
109,47.595948724401474,250897.6582399757,33.665929275376875
110,47.813542537230106,251292.65106899256,33.83340116682106
111,48.029248058435826,251683.75268063231,33.99943271392938
112,48.24308291162729,252071.02647443127,34.164036600541756
113,48.45506448025067,252454.5335187913,34.327225378783965
114,48.665209915214966,252834.33267755923,34.489011471774916
115,48.87353614210053,253210.48072914805,34.64940717620119
116,49.08005986797672,253583.03247864527,34.808424664767585
117,49.28479758785314,253952.0408633284,34.96607598853198
118,49.48776559078716,254317.55705198177,35.12237307913205
119,49.68897996566908,254679.63053838466,35.277327750910935
120,49.888456606704864,255038.30922931977,35.43095170294854
121,50.08617286980788,255393.5705724877,35.58322698724404
122,50.28214494462889,255745.4608450932,35.734165590974364
123,50.476388831805444,256094.02494535115,35.88377938487464
124,50.668920347551946,256439.30646270674,36.0320801250359
125,50.859755128025114,256781.3477439605,36.17907945463334
126,51.048908633478526,257120.18995554233,36.324788905589585
127,51.2363961522191,257455.87314216464,36.46921990017688
128,51.42223280437743,257788.4362820713,36.61238375256203
129,51.60643354550325,258117.9173390853,36.75429167029767
130,51.789013169996565,258444.35331164618,36.89495475576301
131,51.96998631438423,258767.780279017,37.03438400755722
132,52.149367460451266,259088.23344482944,37.17259032184822
133,52.32712297395301,259405.66149294365,37.309547539033765
134,52.50326789256892,259720.09959134646,37.44526701240504
135,52.677817096125054,260031.58212102923,37.57975998778439
136,52.85078530938784,260340.14271120616,37.7130376048306
137,53.02218710474696,260645.814272528,37.845110898309414
138,53.19203690479386,260948.62902841019,37.975990799331214
139,53.36034898480175,261248.61854458824,38.105688136557674
140,53.52713747511292,261545.81375700556,38.23421363737898
141,53.69241636343846,261840.2449981333,38.3615779290632
142,53.85619949707542,262131.94202181546,38.4877915398793
143,54.018500585046105,262420.9340267266,38.612864900195
144,54.17933320016369,262707.24967852497,38.73680834355095
