,life_years,cost,QALYs,icers
natural history,0.6416096988232356,42549.540604846625,0.40500208192386156,0
ag,0.7103894453731914,99386.30344432108,0.5671489038673646,350526.52996
folf,0.7072998186166612,103757.83921394998,0.515046899886267,dominated
