,life_years,cost,QALYs,icers
natural history,0.6416096988232353,42549.54060484659,0.40500208192386145,0.0
folf,0.7151514369464788,102888.78720145534,0.5278108415969607,dominated
ag,0.7207754051343175,107036.66320464152,0.577525508595076,83433.64753
