,life_years,cost,QALYs,icers
natural history,0.5168483975674161,69701.9324378337,0.2489127491599606,0.0
ag,2.701039885674448,105774.34830275882,2.0419806351245877,20117.70784
folf,3.363808368788815,137118.6943479261,2.537428669214678,63264.64914
