,life_years,cost,QALYs,icers
natural history,0.5168483975674159,69701.93243783365,0.24891274915996037,0.0
ag,3.089057197028171,104420.76351212728,2.365426035673078,16403.78603
folf,3.506018014015387,124747.71820683332,2.6809970661123974,64413.24689
