x,Curve1
0.939,100
3.284,99.2
5.394,98
8.205,95.6
10.311,92.8
12.76,86.4
15.208,79.2
17.308,74
18.581,66.4
19.496,56
21.007,50
22.874,45.2
24.86,41.2
26.484,33.2
30.341,26.4
35.149,24.8
38.314,23.2
41.246,22.4
