x,Curve1
1.77636e-15,99.174
0.2654,92.01
0.7961,84.294
1.6806,76.302
2.3882,66.382
3.3612,58.389
4.3342,52.325
5.1302,45.71
7.6953,42.395
9.3759,34.95
10.7912,29.16
13.0909,23.366
17.0713,20.32
22.9091,18.921
27.3317,18.353
33.5233,17.503
38.742,15.83
41.3071,14.443
42.8108,12.233
45.199,11.122
47.8526,10.561
50.5946,9.999
