x,Curve1
1.657,99.821
7.737,99.651
11.042,97.475
14.525,94.209
17.272,91.305
19.277,87.309
20.545,83.312
21.998,79.496
23.627,74.227
25.452,70.957
27.273,67.143
29.65,63.693
32.392,59.88
34.771,56.793
36.782,53.888
38.604,50.255
42.647,48.263
45.029,45.903
48.335,43.91
51.085,41.369
53.093,37.919
54.542,33.376
56.176,29.015
59.11,26.476
65.728,23.761
73.278,22.866
80.278,22.516
83.223,21.976
