x,Curve1
1.697,100.181
3.37,98.004
5.387,96.37
6.192,92.196
8.705,89.292
9.165,84.574
10.475,80.036
11.446,75.499
11.908,70.962
13.568,67.514
15.06,64.247
17.063,61.162
17.873,57.532
19.352,52.995
21.863,49.909
24.702,45.735
29.94,44.102
32.453,41.198
35.122,37.024
38.995,34.483
42.373,33.394
45.754,32.486
49.308,31.942
51.843,31.216
