x,Curve1
1.48,99.641
5.003,99.29
7.786,99.119
10.924,97.856
11.784,93.305
12.653,89.301
13.7,84.751
14.755,80.748
16.014,78.021
17.26,74.382
17.959,71.471
19.404,68.744
20.642,64.559
22.264,61.287
23.873,57.103
25.878,54.561
28.066,51.837
30.437,48.932
33.19,46.756
37.259,45.679
40.397,44.416
43.715,42.789
46.826,39.704
49.172,35.159
50.224,30.974
52.415,28.432
56.473,26.626
62.033,25.918
66.665,25.207
71.296,24.496
75.559,23.966
80.008,23.437
82.976,23.266
